2011-04-04 04:31:14|127.0.0.1| User=[guest@localhost]| Script=C:\Documents and Settings\Eric\Desktop\chiavetta\camaroes\login.php Line=210 : Nomal form authentification 
2011-04-04 04:32:24|127.0.0.1| User=[guest@localhost]| Script=C:\Documents and Settings\Eric\Desktop\chiavetta\camaroes\login.php Line=210 : Nomal form authentification 
2011-04-04 04:32:39|127.0.0.1| User=[guest@localhost]| Script=C:\Documents and Settings\Eric\Desktop\chiavetta\camaroes\get_data\guest\get_login.php Line=368 : Good login, User [admin] found
2011-04-04 04:32:39|127.0.0.1| User=[admin@localhost]| Script=C:\Documents and Settings\Eric\Desktop\chiavetta\camaroes\system\load_user_data.php  Line=473 : User [admin@localhost ] find and Authorized, New Session id=tlki85s7a1846vtc8dh2dtr3m6
2011-04-04 04:32:39|127.0.0.1| User=[admin@localhost]| Script=C:\Documents and Settings\Eric\Desktop\chiavetta\camaroes\system\load_user_data.php  Line=474 :  connect succefull ! Group=admin
2011-04-04 04:36:29|127.0.0.1| User=[guest@localhost]| Script=C:\Documents and Settings\Eric\Desktop\chiavetta\camaroes\get_data\guest\get_login.php Line=368 : Good login, User [admin] found
2011-04-04 04:36:29|127.0.0.1| User=[admin@localhost]| Script=C:\Documents and Settings\Eric\Desktop\chiavetta\camaroes\system\load_user_data.php  Line=473 : User [admin@localhost ] find and Authorized, New Session id=tlki85s7a1846vtc8dh2dtr3m6
2011-04-04 04:36:29|127.0.0.1| User=[admin@localhost]| Script=C:\Documents and Settings\Eric\Desktop\chiavetta\camaroes\system\load_user_data.php  Line=474 :  connect succefull ! Group=admin
2011-04-04 05:24:37|127.0.0.1| User=[guest@localhost]| Script=C:\Documents and Settings\Eric\Desktop\chiavetta\camaroes\login.php Line=210 : Nomal form authentification 
2011-04-04 05:25:01|127.0.0.1| User=[guest@localhost]| Script=C:\Documents and Settings\Eric\Desktop\chiavetta\camaroes\get_data\guest\get_login.php Line=368 : Good login, User [admin] found
2011-04-04 05:25:01|127.0.0.1| User=[admin@localhost]| Script=C:\Documents and Settings\Eric\Desktop\chiavetta\camaroes\system\load_user_data.php  Line=473 : User [admin@localhost ] find and Authorized, New Session id=tlki85s7a1846vtc8dh2dtr3m6
2011-04-04 05:25:01|127.0.0.1| User=[admin@localhost]| Script=C:\Documents and Settings\Eric\Desktop\chiavetta\camaroes\system\load_user_data.php  Line=474 :  connect succefull ! Group=admin
2011-04-04 05:25:43|127.0.0.1| User=[admin@localhost]| Script=C:\Documents and Settings\Eric\Desktop\chiavetta\camaroes\function.php  Line=830 : File [C:\Documents and Settings\Eric\Desktop\chiavetta\camaroes/conf.d/modules/conf_all.ini]  Can not  be found
2011-04-05 01:00:27|127.0.0.1| User=[admin@localhost]| Script=C:\Documents and Settings\Eric\Desktop\chiavetta\camaroes\system\generate\generator_mod.php  Line=73 : !!! Called Off a not existing Data Module In   (generate_mod.php) By User   admin@localhost, host:127.0.0.1 The module (delete_imap.php) was Called But do not exist   

2011-04-05 01:14:04|127.0.0.1| User=[guest@localhost]| Script=C:\Documents and Settings\Eric\Desktop\chiavetta\camaroes\logout.php Line=77 : Logout For User :guest clean  [ticket_read, message_read and cmr_session] session=sp69vlnabllnh4gc45a85a69v1
2011-04-05 01:14:24|127.0.0.1| User=[guest@localhost]| Script=C:\Documents and Settings\Eric\Desktop\chiavetta\camaroes\login.php Line=210 : Nomal form authentification 
2011-04-05 01:14:57|127.0.0.1| User=[guest@localhost]| Script=C:\Documents and Settings\Eric\Desktop\chiavetta\camaroes\login.php Line=210 : Nomal form authentification 
2011-04-05 01:15:04|127.0.0.1| User=[guest@localhost]| Script=C:\Documents and Settings\Eric\Desktop\chiavetta\camaroes\logout.php Line=77 : Logout For User :guest clean  [ticket_read, message_read and cmr_session] session=l85ga6p1hnk1d2ts026cbtcog0
2011-04-05 01:15:25|127.0.0.1| User=[guest@localhost]| Script=C:\Documents and Settings\Eric\Desktop\chiavetta\camaroes\login.php Line=210 : Nomal form authentification 
2011-04-05 01:15:34|127.0.0.1| User=[guest@localhost]| Script=C:\Documents and Settings\Eric\Desktop\chiavetta\camaroes\login.php Line=210 : Nomal form authentification 
2011-04-05 01:15:54|127.0.0.1| User=[guest@localhost]| Script=C:\Documents and Settings\Eric\Desktop\chiavetta\camaroes\logout.php Line=77 : Logout For User :guest clean  [ticket_read, message_read and cmr_session] session=11ltsucpj4rp3ogsl4d6l1evd2
2011-04-05 01:15:59|127.0.0.1| User=[guest@localhost]| Script=C:\Documents and Settings\Eric\Desktop\chiavetta\camaroes\login.php Line=210 : Nomal form authentification 
2011-04-05 01:22:03|127.0.0.1| User=[guest@localhost]| Script=C:\Documents and Settings\Eric\Desktop\chiavetta\camaroes\get_data\guest\get_login.php Line=262 :  User Cannot be Find, Wrong Username or Password or no database
2011-04-05 01:22:03|127.0.0.1| User=[guest@localhost]| Script=C:\Documents and Settings\Eric\Desktop\chiavetta\camaroes\get_data\guest\get_login.php Line=293 : Empty User Send
2011-04-05 01:22:04|127.0.0.1| User=[guest@localhost]| Script=C:\Documents and Settings\Eric\Desktop\chiavetta\camaroes\login.php Line=210 : Nomal form authentification 
2011-04-05 01:23:21|127.0.0.1| User=[guest@localhost]| Script=C:\Documents and Settings\Eric\Desktop\chiavetta\camaroes\get_data\guest\get_login.php Line=368 : Good login, User [admin] found
2011-04-05 01:23:21|127.0.0.1| User=[admin@localhost]| Script=C:\Documents and Settings\Eric\Desktop\chiavetta\camaroes\system\load_user_data.php  Line=473 : User [admin@localhost ] find and Authorized, New Session id=11ltsucpj4rp3ogsl4d6l1evd2
2011-04-05 01:23:21|127.0.0.1| User=[admin@localhost]| Script=C:\Documents and Settings\Eric\Desktop\chiavetta\camaroes\system\load_user_data.php  Line=474 :  connect succefull ! Group=admin
2011-04-05 01:35:23|127.0.0.1| User=[admin@localhost]| Script=C:\Documents and Settings\Eric\Desktop\chiavetta\camaroes\system\generate\generator_mod.php  Line=73 : !!! Called Off a not existing Data Module In   (generate_mod.php) By User   admin@localhost, host:127.0.0.1 The module (menu_general.php) was Called But do not exist   

2011-04-05 02:05:52|127.0.0.1| User=[admin@localhost]| Script=C:\Documents and Settings\Eric\Desktop\chiavetta\camaroes\get_data\guest\get_default_data.php Line=437 : Exit Request Normaly
2011-04-05 02:05:55|127.0.0.1| User=[guest@localhost]| Script=C:\Documents and Settings\Eric\Desktop\chiavetta\camaroes\logout.php Line=77 : Logout For User :guest clean  [ticket_read, message_read and cmr_session] session=okik07ng8hhni3gq5onf23oe93
2011-04-05 02:05:59|127.0.0.1| User=[guest@localhost]| Script=C:\Documents and Settings\Eric\Desktop\chiavetta\camaroes\login.php Line=210 : Nomal form authentification 
2011-04-05 02:06:12|127.0.0.1| User=[guest@localhost]| Script=C:\Documents and Settings\Eric\Desktop\chiavetta\camaroes\get_data\guest\get_login.php Line=368 : Good login, User [admin] found
2011-04-05 02:06:12|127.0.0.1| User=[admin@localhost]| Script=C:\Documents and Settings\Eric\Desktop\chiavetta\camaroes\system\load_user_data.php  Line=473 : User [admin@localhost ] find and Authorized, New Session id=okik07ng8hhni3gq5onf23oe93
2011-04-05 02:06:12|127.0.0.1| User=[admin@localhost]| Script=C:\Documents and Settings\Eric\Desktop\chiavetta\camaroes\system\load_user_data.php  Line=474 :  connect succefull ! Group=admin
2011-04-05 02:07:13|127.0.0.1| User=[guest@localhost]| Script=C:\Documents and Settings\Eric\Desktop\chiavetta\camaroes\get_data\guest\get_login.php Line=368 : Good login, User [admin] found
2011-04-05 02:07:13|127.0.0.1| User=[admin@localhost]| Script=C:\Documents and Settings\Eric\Desktop\chiavetta\camaroes\system\load_user_data.php  Line=473 : User [admin@localhost ] find and Authorized, New Session id=okik07ng8hhni3gq5onf23oe93
2011-04-05 02:07:13|127.0.0.1| User=[admin@localhost]| Script=C:\Documents and Settings\Eric\Desktop\chiavetta\camaroes\system\load_user_data.php  Line=474 :  connect succefull ! Group=admin
2011-04-05 02:09:03|127.0.0.1| User=[guest@localhost]| Script=C:\Documents and Settings\Eric\Desktop\chiavetta\camaroes\get_data\guest\get_login.php Line=368 : Good login, User [admin] found
2011-04-05 02:09:03|127.0.0.1| User=[admin@localhost]| Script=C:\Documents and Settings\Eric\Desktop\chiavetta\camaroes\system\load_user_data.php  Line=473 : User [admin@localhost ] find and Authorized, New Session id=okik07ng8hhni3gq5onf23oe93
2011-04-05 02:09:03|127.0.0.1| User=[admin@localhost]| Script=C:\Documents and Settings\Eric\Desktop\chiavetta\camaroes\system\load_user_data.php  Line=474 :  connect succefull ! Group=admin
2011-04-05 02:10:01|127.0.0.1| User=[guest@localhost]| Script=C:\Documents and Settings\Eric\Desktop\chiavetta\camaroes\get_data\guest\get_login.php Line=368 : Good login, User [admin] found
